ticket_text,category,priority
Light User for external - [TICKET ID] - [USERNAME]. WojciechService Request: Light User for external  Create Light user for [USERNAME]. Wojciech     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47004  Function: Agentur Polen  Company: BizWebStudio  Department: [ADDRESS]-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Jun 29 2019 11:00PM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME]. [USERNAME] ([COMPANY]. [LOCATION])     Desired date: Dec 17 2018 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - [NAME] OUTLOOK [NAME] | URGENTE,O365,High
[TICKET ID] - A Support Ticket was forwarded to you  - Security Tools Aktualisierung und Entfernung der Festplatten Verschlüsselung auf den Systemen [SERVER],Support general,Medium
Instalacao Impressora Na Rede,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - enviar e_mail,O365,Medium
[TICKET ID] - New Support Ticket received  - Error en correo,O365,Medium
[TICKET ID] - New information received on closed ticket  - Name on desk phone,Support general,Medium
[TICKET ID] - New Support Ticket received  -[LOCATION]program,Software,Medium
Create Shared Mailbox - [EMAIL] - AR-[COMPANY],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Não consigo abrir um site,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Patrice ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      J:/CE-STA/      please create the folder if it does not yet exist and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Alterações em lista e-mail,Support general,Medium
create[LOCATION]entry [SERVER]m.[COMPANY]up.ads.dir A [IP_ADDRESS]create[LOCATION]entry [SERVER]m.[COMPANY]up.ads.dir A [IP_ADDRESS],Support general,Medium
Initiated by [COMPANY][LOCATION]- Missing Windows Updates on [LOCATION]-MON01,Software,Medium
Basis User - [TICKET ID] - Rodrigues [NAME].[NAME]([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  Rodrigues [NAME].[NAME]([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44288  Company:  [COMPANY] S.A.  Department:  [COMPANY]_MA-LOG  Street:  [ADDRESS].  ZIP: [LOCATION][ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 11589 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 23 2019  3:00AM     Additional information:,Support general,Medium
Light User for external - [TICKET ID] - [NAME]. [NAME]Service Request: Light User for external  Create Light user for [NAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47037  Function: [COMPANY][LOCATION]consultant for FI/CO  Company: [COMPANY] do [ADDRESS] Ltda.  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 16 2018 12:00AM     Additional information:  New[LOCATION]Consultant [NAME] [NAME]. She will work together with [NAME] da Costa in [ADDRESS].,Support general,Medium
[TICKET ID] - New Support Ticket received  - acesso,Active Directory,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 32151  Function: Projektingenieur  Company: [COMPANY] Einsteinstr. 8. [ADDRESS]  Department: SB-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  7 2019 12:00AM     Additional information:,Support general,Medium
 Site[LOCATION]não abre a vários dias - utilizando a ferramenta com o roteador do celularA vários dias a ferramenta da[LOCATION]não carrega em nenhum provedor - nem Chrome nem o Explorer.    Suporte da feramenta acionado e foi identificada lentidão ou demora de resposta no acesso da internet da [COMPANY].    Já estamos a mais de uma semana com o problema.    Para usar a ferramenta tenho que utilizar o celular corporativo como roteador. porém fico sem acesso do email e outras informações de rede quando faço isso.    Solicitamos reparo no serviço de internet do escritório.,Support general,Medium
File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Groups (J:/)     J:/CH-MAP   J:/CH-MAZ   J:/CH-ZRST   J:/CH-ÖFZ   J:/CH-ChZugang           Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Standort:[LOCATION]Container[LOCATION]1OG Raum11,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Setup BB on mobile phone.,Support general,Medium
[TICKET ID] - New Support Ticket received  - R Drive Permission,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Update Rstudio,Software,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/CDC-C     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Frau [USERNAME] wird ab 7. Januar im Raum 2.36 ([ID] Flügel 4) als Azubi tätig werden. Entstehende Kosten zu Lasten 47006.,Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Kein Zugriff mehr auf [COMPANY] Intranet. (OKTA-APP nicht zugewiesen),Software,Medium
[TICKET ID] - New Support Ticket received  - Light User for external - [TICKET ID] - Everding. Florian,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Instalação Impressora,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - New account,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - Celular sin mails,Support general,Medium
[TICKET ID] - New Support Ticket received  - Light User for external - [USERNAME] - [NAME],Support general,Medium
Light User for external - [TICKET ID] - [NAME] Service Request: Light User for external  Create Light user for [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47054  Function: IT Support  Company: [COMPANY] IT Services GmbH  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Feb  1 2020 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Feb  1 2019 12:00AM     Additional information:  Bitte den User als admuser im [COMPANY] AD anlegen. Vielen Dank!,Support general,Medium
[TICKET ID] - New Support Ticket received  - [LightHouse] [SERVER] Updates,Support general,Medium
[TICKET ID] - New Support Ticket received  - Reparos Telefone - A/C[LOCATION]FERRARI,Support general,Medium
Cancelamento Usuário e Acessos [NAME]Por gentileza cancelar o usuário da [NAME] e criar o aliás no e-mail para [NAME] (segue anexo autorização).  Obrigada!,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - Instalação Parallels,Software,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  22006  Company:  [COMPANY] SE  Department:  RD-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13747 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Feb 11 2019 12:00AM     Additional information:,Support general,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  79099  Company:  Kenfeng. [COMPANY] Seed Co.[LOCATION] Department:  [ADDRESS]  Street:    ZIP:    City:    Country:    Office: [LOCATION]    Important: Please set the EA10 to the following value: [EMAIL] (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 21 2019  5:00PM     Additional information:   Dear colleagues:  Create account please for new JV internal employee.  He is belong to [LOCATION]. His mailbox include @[EMAIL] and @[EMAIL] Thank you  First Name: [NAME]  Last Name: [NAME]  Gender: Male  Telephone:[PHONE]  Place: [ADDRESS]  ZIP: [ADDRESS]  Country: China  Company: KENFENG-[COMPANY][LOCATION]CO.. LTD.  Department : Production  Function: Production Manager,Support general,High
reserva DHCPPoderia fazer uma reserva no DHCP? [LOCATION][MAC_ADDRESS]  é uma impressora.,Support general,Medium
File Share Access - [TICKET ID] - [USERNAME]. Alissa ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Alissa ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RO) Read only  File Share:      j:/PDW/TargetDB/       Normal   0               false   false   false      DE   EN-US   AR-SA                                             MicrosoftInternetExplorer4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Okta Verify Reset,Software,Medium
File Share Access - [TICKET ID] - [USERNAME]. Maike ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Bitte für Frau [NAME]-Weiss den Vollzugriff auf J:/[SERVER] einrichten.   Danke.       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - One Drive constantly asks me to sign in again. blocking access to the documents Im working on.,O365,Medium
[TICKET ID] - New Support Ticket received  - New installation of Blackberry work apps,Support general,Medium
Basis User - [TICKET ID] - [USERNAME]. Pauline ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44257  Company:  [COMPANY] France S.A.R.L.  Department:  [COMPANY]_SB-P  Street:  n/a  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:    Office:       Important: Please set the EA10 to the following value: 11966 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  7 2019 12:00AM     Additional information:,Support general,Medium
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:[COMPANY]-TC     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - no accede a el mail,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - NTT-Ticket: [SERVER] Alert for cpe0013940 ([LOCATION]_ManuelOcampo) (Ping) -[LOCATION]Monitor [LOCATION]_ManuelOcampo [COMPANY] SE,Support general,Medium
[TICKET ID] - New Support Ticket received  - desk phone not working properly for calls to and from [ADDRESS] office,Support general,Medium
[TICKET ID] - New Support Ticket received  - Outlook Calendar not viewable,O365,Medium
[TICKET ID] - New Support Ticket received  - Cadastrar usuário + compra de equipamento -[LOCATION]13494 - [NAME],Active Directory,Medium
[TICKET ID] - New information received on closed ticket  - Initiated by [COMPANY][LOCATION]- Vulnerable[LOCATION]on [SERVER],Support general,Medium
[TICKET ID] - Configure Windows account and additional services for [NAME] ([COMPANY]; [LOCATION]) (Order Request ID [TICKET ID]),Active Directory,Medium
Basis User - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174417  Company:  [COMPANY] Berlin GmbH  Department:  GFP-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office: [LOCATION]    Important: Please set the EA10 to the following value: 13563 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  1 2019 12:00AM     Additional information:   Liebes [COMPANY]-Team.   Laptop. Bildschirm. Tastatur. Telefon. Headset bitte aus Gerätepool Berlin. falls vorhanden  Tastatur und Laptop bitte englische Tastatur   Danke,Support general,Medium
File Share Access - [TICKET ID] - Herbst. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Bitte geben Sie Zugriff auf den Server [URL].    Ich muss Aktualisierungen von Vorlagen durchführen.    Der Zugriff eilt und wird dringend (!) benötigt.       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RO) Read only  File Share:  J:/KALENDER  J:/Prüfprotokolle  J:/Thermographie     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Acesso Pastas do Servidor,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Skype.,O365,Medium
File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RO) Read only  File Share:   J:/FAQ BTR_HR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]    Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47050  Function:[LOCATION]Consultant WM  Company: BA Busness Advice GmbH  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Dec 31 2020 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 14 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - Conexão Internet [COMPANY],Support general,Medium
[TICKET ID] - New Support Ticket received  - Roaming Internacional,Support general,Medium
[TICKET ID] - New Support Ticket received  - Certificado [NAME],Software,Medium
[TICKET ID] - New Support Ticket received  - unlock my personal external[LOCATION]drive,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - [NAME] não consegue acessar seu computador,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME]. Okan ([COMPANY]. [LOCATION]),Fileservice,Medium
Acessos[LOCATION]para time TI [ADDRESS] America,Active Directory,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44278  Company:  [COMPANY] Momont Recherche  Department:  [COMPANY]_BR-[ADDRESS]  City:  [ADDRESS]-Pévèle  Country:    Office:       Important: Please set the EA10 to the following value: 13005 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Dec 17 2018 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - Create user. corporate access and email account for new employee [USERNAME].[LOCATION]ID n° 13413,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - Skype and OneNote issue,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Leaving Employee - [TICKET ID] - [ADDRESS]. [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      Guten morgen zusammen.        könnten Sie mir bitte den Zugriff auf folgende Ordner einrichten?:            J:/HR_[SERVER]  J:/HR_[SERVER]  J:/HR_FRM-WBH  J:/PW-INSBB    Vielen dank im Voraus.                Normal   0         21         false   false   false      DE   X-NONE   X-NONE                                             MicrosoftInternetExplorer4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Bitte Zugriff auf Laufwerk J:/ auf folgende Ordner einrichten:   Scan-Funktion auf Kopierer   Zugriff auf das Programm Zedal einrichten. Hat Herr Märting auch auf seinen PC:    [SERVER]   TOM_DOKU       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
File Share Access - [TICKET ID] - [USERNAME]. ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  j:/stundenbuecher     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Software Installation,Software,Medium
[TICKET ID] - [SERVER][LOCATION]- Emergency Maintenance - 2018-8-31. 02:00[LOCATION]| cpe0004630 ([LOCATION]_Balcarce) | cpe0007405 ([LOCATION]_SaoPaulo) | cpe0008460 ([LOCATION]_PatosDeMinas) [COMPANY] SE. Rückmeldungen erforderlich.,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:              J:/E-CAD       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Sehr geehrte Damen und Herrn.  ich benötige den Zugriff für den Ordner E-CAD der sich auf dem Laufwerk J befindet.  Vielen Dank [NAME] [NAME],Fileservice,Medium
File Share Access - [TICKET ID] - [USERNAME]. Manfred ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Manfred ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Bitte für unseren Auszubildenden [NAME]    [SERVER]   Zugriff auf das Laufwerk J:/ECAD   einrichten !       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  -  [NAME] ao acessar o Neoagro,Software,Medium
[TICKET ID] - New Support Ticket received  - Banco do Brasil não entra. gerente pediu para formatar,Software,Medium
[TICKET ID] - New Support Ticket received  - Problemas con la impresora de etiquetas,Computer-Services,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Remove attachements from E-Mails from external,O365,Medium
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44251  Company:  [COMPANY]  Department:  [COMPANY]OP  Street:  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: [EMAIL] (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Sep 19 2018  7:00AM     Additional information:   Please setup[LOCATION]user starts today.  Old ticket [TICKET ID].,Active Directory,Medium
[TICKET ID] - New Support Ticket received  -[LOCATION]Phone Work App Crashing. Request new Certificate,Support general,Medium
[TICKET ID] - New Support Ticket received  - Telefone está mudo,Support general,Medium
[TICKET ID] - Reminder of paused Support Ticket  - Initiated by [COMPANY][LOCATION]- Vulnerable[LOCATION]on [SERVER],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - Ingreso a J desde notebook,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Install new printer driver,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - santiago [NAME] no puede ingresar a office 365,O365,Medium
Light User for external - [TICKET ID] - [NAME]. SatishService Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47046  Function: [COMPANY][LOCATION]consultant in service desk (dispatching)  Company: [COMPANY][LOCATION]India Private Limited  Department: GIT-EST  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 10 2019 12:00AM     Additional information:  3 new [COMPANY] service desk consultants replacing present service desk consultants [NAME] and [NAME] who will move to security[LOCATION]team. as they have upgraded their skill sets and they can help existing team.  Approver = [NAME],Support general,Medium
[TICKET ID] - New Support Ticket received  - trouble connecting to network printer,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [USERNAME]. Birgit ([COMPANY]. [LOCATION]),Support general,Medium
[TICKET ID] - New Support Ticket received  - BitLocker lockout notice - [NAME],Software,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  Skidnova  Cost Center:  174439  Company:  [COMPANY] Berlin GmbH  Department:  GTC-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13615 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 15 2019 12:00AM     Additional information:    [NAME] [COMPANY]-Team.   Laptop. Bildschirm. Tastatur. Telefon. Headset bitte aus Gerätepool Berlin. falls vorhanden  Tastatur und Laptop bitte englische Tastatur  danke,Support general,Medium
[TICKET ID] - New Support Ticket received  - Cancelamento Usuário e Acessos [NAME],Active Directory,Medium
Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47046  Function: [COMPANY][LOCATION]consultant in service desk (dispatching)  Company: [COMPANY][LOCATION]India Private Limited  Department: GIT-EST  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 10 2019 12:00AM     Additional information:  3 new [COMPANY] service desk consultants replacing present service desk consultants [NAME] and [NAME] who will move to security[LOCATION]team. as they have upgraded their skill sets and they can help existing team.  Approver = Jens Schwetje,Support general,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME]. [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  22010  Company:  [COMPANY] SE  Department:  BR-BS-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13608 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  9 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - Skype not working in Several computers,O365,Medium
[TICKET ID] - New Support Ticket received  - problemas ingreso a [NAME],Software,Medium
File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:    j:/MAZ-MATE   j:/MAZ-MB   j:/MBCALC   j:/MBDATA   j:/Transfer       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Skype for Business does not work,O365,Medium
File Share Access - [TICKET ID] - Hass Neto. Carlos ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  Hass Neto. Carlos ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      N:/[SERVER]/STA-PGRO        R/W including all subfolders.         Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Light User for external - [TICKET ID] - [NAME]. FelipeService Request: Light User for external  Create Light user for [NAME].      Firstname: [NAME]  Lastname: [NAME] Pinto  Mailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47045  Function: [COMPANY][LOCATION]consultant for MM  Company: [COMPANY] do Brasil Ltda.  Department: GIT-ESC  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY] [LOCATION])     Desired date: Dec 20 2018 12:00AM     Additional information:  New [COMPANY][LOCATION]consultant for [NAME],Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:    J:/GE-SB   J:/MolTec   J:/Geldokumentation       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Cannot print to new copier in KIM,Computer-Services,Medium
usu�rio��bloqueado,Active Directory,Medium
