ticket_text,category,priority,cleaned_text
Review Email configuration for [NAME],General Query,Medium,review email configuration
[TICKET ID] - New Support Ticket received  - busqueda citrix mas lvs,Technical Issue,Medium,ticket new support ticket received busqueda citrix mas lvs
Excel file in Sharepoint corrupted,Technical Issue,Medium,excel file sharepoint corrupted
File Share Access - [TICKET ID] - Pracki. [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,file share access ticket pracki company location
<J:/CREDITO/[NAME]/__DOCUMENTOS> DE CLIENTES - RENOVAÇÕES/[NAME]/[NAME],Technical Issue,Medium,credito documentos clientes renova
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/Topf- und Substratbestellungen     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  J:/Topf- und Substratbestellungen,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share topf und substratbestellungen requestor company location comment topf und substratbestellungen
[TICKET ID] - A Support Ticket was forwarded to you  - Adicionar novo colaborador ,Account,Medium,ticket support ticket forwarded adicionar novo colaborador
[TICKET ID] - A Support Ticket was forwarded to your role  - [NAME] Citrix and J drive effects on LT,Technical Issue,Medium,ticket support ticket forwarded role citrix drive effects
Password change over VPN,Account,Medium,password change vpn
Permitir acesso a pasta da rede,Technical Issue,Medium,permitir acesso pasta rede
Create Shared Mailbox - [EMAIL] - my[COMPANY]-[NAME],General Query,Medium,create shared mailbox email company
Instalação de ImpressoraInstalação de impressora HP LaserJet P1102w.,Technical Issue,Medium,instala impressorainstala impressora laserjet
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44288  Function: Lecturer  Company: GI  Department: KW-[ADDRESS] – [ADDRESS] 428 [ADDRESS] – [ADDRESS].  ZIP:[LOCATION][ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Jan 24 2020  3:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] [ADDRESS] [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 24 2019  3:00AM     Additional information:,General Query,Medium,light user external ticket service request light user external create light user firstname lastname ailaddress email phone phone cost center function lecturer company department address address address address zip location address city address country address location location office expiration date jan important indicate external user requestor address company location desired date jan additional information
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [NAME]),General Query,Medium,ticket new support ticket received basis user username company
[TICKET ID] - New Support Ticket received  - Safenet Mobilpass setup,General Query,Medium,ticket new support ticket received safenet mobilpass setup
VPN UpdateDear IT.My[LOCATION]connection updated. but maintain the same layout as the one before. The connection does not give me the options to which each connection I will choose.Anyway. according to my[LOCATION]Manager. my computer does not updated correctly.Could anyone check my computer and this connection update?Thanks.  ,General Query,Medium,vpn updatedear location connection updated maintain layout connection does options connection choose according location manager computer does updated correctly check computer connection update thanks
[TICKET ID] - New Support Ticket received  - Actualización certificado [NAME],General Query,Medium,ticket new support ticket received actualizaci certificado
File Share Access - [TICKET ID] -  [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:   [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  Laufwerk J:[LOCATION]     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Zugriff auf Laufwerk J:[LOCATION]wird benötigt.  Besten Dank [NAME],Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share laufwerk location requestor company location comment zugriff auf laufwerk location wird ben tigt besten dank
[SERVER] - McAfee Agent issue,Technical Issue,Medium,server mcafee agent issue
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Benoit ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      J:/CE-STA/        please create the folder and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user username benoit company location username username access type read write file share sta create folder access subfolders requestor company location comment
[TICKET ID] - A Support Ticket was forwarded to you  - RE: Decision for Order required: #[TICKET ID] - Install request,Technical Issue,Medium,ticket support ticket forwarded decision order required ticket install request
[TICKET ID] - New information received on closed ticket  - Initiated by [COMPANY][LOCATION]- Vulnerable Windows Defender on [SERVER],General Query,Medium,ticket new information received closed ticket initiated company location vulnerable windows defender server
Printer installation -,Technical Issue,Medium,printer installation
[TICKET ID] - New Support Ticket received  - R & Rstudio re-installation,Technical Issue,Medium,ticket new support ticket received rstudio installation
[TICKET ID] - New Support Ticket received  - pagina campus achs,General Query,Medium,ticket new support ticket received pagina campus achs
exportar lista de e-mailsGostaria de solicitar um export da lista de e-mails. preferencialmente de excel (.csv) mas pode ser qualquer outra extenção.,Technical Issue,Medium,exportar lista mailsgostaria solicitar export lista mails preferencialmente excel csv mas pode ser qualquer outra exten
Erhöhung des Arbeitsspeichers / Speicherplatzerhöhung auf [SERVER],Technical Issue,Medium,erh hung des arbeitsspeichers speicherplatzerh hung auf server
[TICKET ID] - New Support Ticket received  - visual studio,Technical Issue,Medium,ticket new support ticket received visual studio
[TICKET ID] - A Support Ticket was forwarded to your role  - activacion blackverry work,General Query,Medium,ticket support ticket forwarded role activacion blackverry work
[TICKET ID] - New Support Ticket received  - Atualização,Technical Issue,Medium,ticket new support ticket received atualiza
[TICKET ID] - New Support Ticket received  - liberação,Technical Issue,Medium,ticket new support ticket received libera
E-Mail Verteiler [SERVER]-SFO und [SERVER] M. [NAME],Account,Medium,mail verteiler server sfo und server
Solicito arquivo de backup do arquivo,Technical Issue,Medium,solicito arquivo backup arquivo
(2020040620122) Verizon Initial Notification,General Query,Medium,verizon initial notification
[TICKET ID] - A Support Ticket was forwarded to you  - Leaving Employee - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Account,Medium,ticket support ticket forwarded leaving employee ticket company location
[TICKET ID] - New Support Ticket received  - PROGRAMA,Technical Issue,Medium,ticket new support ticket received programa
File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/HR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Bitte aufnehmen in den Verteiler: [COMPANY]_HR,Technical Issue,Medium,file share access ticket service request file share access grant access file share following user username access type read write file share company requestor company location comment bitte aufnehmen den verteiler company
Create Shared Mailbox - [EMAIL] - [EMAIL] ([LOCATION]),General Query,Medium,create shared mailbox email email location
[TICKET ID] - New Support Ticket received  - Acceso a Citrix [NAME],Technical Issue,Medium,ticket new support ticket received acceso citrix
A budget file is missing out of my folder and have not been able to find it on the computer,Technical Issue,Medium,budget file missing folder able computer
[SERVER] on [SERVER] says offline,Technical Issue,Medium,server server says offline
Computador com atualizações pendentes,Technical Issue,Medium,computador com atualiza pendentes
Add user [COMPANY]up/Brodmann for Leasy Support,Account,Medium,add user company brodmann leasy support
[TICKET ID] - New Support Ticket received  - instalacion[LOCATION],Technical Issue,Medium,ticket new support ticket received instalacion location
[TICKET ID] - New Support Ticket received  - Abrir pasta de arquivos do google Drive,Technical Issue,Medium,ticket new support ticket received abrir pasta arquivos google drive
[TICKET ID] - A Support Ticket was forwarded to your role  - problemas ingreso a [NAME],Technical Issue,Medium,ticket support ticket forwarded role problemas ingreso
Create Shared Mailbox - [EMAIL] - my[COMPANY] HR,General Query,Medium,create shared mailbox email company
[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable Teamviewer on [SERVER],General Query,Medium,ticket support ticket forwarded role initiated company location vulnerable teamviewer server
Acesso [NAME],Account,Medium,acesso
Extraction of users mailbox and OneDrive storage,General Query,Medium,extraction users mailbox onedrive storage
Neuen[LOCATION]User erstellen -  von [NAME]. [NAME],Account,Medium,neuen location user erstellen von
onedrive,Technical Issue,Medium,onedrive
Zugriff Postfach hinzufügen / entfernen,General Query,Medium,zugriff postfach hinzuf gen entfernen
[TICKET ID] - New Support Ticket received  - configuracion telefono [NAME],General Query,Medium,ticket new support ticket received configuracion telefono
Citrix reciver takes very long to open,Technical Issue,Medium,citrix reciver takes long open
Initiated by [COMPANY][LOCATION]- Vulnerable Active X on [SERVER]8,Technical Issue,Medium,initiated company location vulnerable active server
Email lentoBom dia !!!  Meu email está muito lento. quando pesquiso emails anteriores. para abrir os email.  Gostaria por gentileza que verificassem.  Atenciosamente.,Technical Issue,Medium,email lentobom dia meu email est muito lento quando pesquiso emails anteriores para abrir email gostaria por gentileza que verificassem atenciosamente
[TICKET ID] - A Support Ticket was forwarded to your role  -  [NAME] locked out of PC,Technical Issue,Medium,ticket support ticket forwarded role locked
SR290616 Leaving employee: The user [NAME] ([COMPANY]; [LOCATION]) is going to leave [COMPANY] on 02;01;2018,Account,Medium,leaving employee user company location going leave company
sharepoint non accessible,Technical Issue,Medium,sharepoint non accessible
GH Printer Connection Issue,Technical Issue,Medium,printer connection issue
User admportz löschen,Account,Medium,user admportz schen
missing printerOur local printer in [ADDRESS] has disappeared from my laptop. How do I add it back?    Thanks    [NAME]obile: [PHONE]    ,Technical Issue,Medium,missing printerour local printer address disappeared laptop add thanks obile phone
Out of office notice on [EMAIL] email,General Query,Medium,office notice email email
Initiated by [COMPANY][LOCATION]- Vulnerable .NET Version on [SERVER],Technical Issue,Medium,initiated company location vulnerable net version server
[TICKET ID] - New Support Ticket received  - Mensaje al querer abrir outlook,Technical Issue,Medium,ticket new support ticket received mensaje querer abrir outlook
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      N:/[SERVER]/[USERNAME]        R/W including all subfolders.         Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share server username including subfolders requestor company location comment
[TICKET ID] - A Support Ticket was forwarded to you  - Instalar programa BarTender,Technical Issue,Medium,ticket support ticket forwarded instalar programa bartender
Instalación Impresora,Technical Issue,Medium,instalaci impresora
[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Servicealarm: ([SERVER]) [COMPANY] LS Systemmanagement - [SOFTWARE] Depot Server: Filesystem E:/ -[LOCATION]-> CRIT,General Query,Medium,ticket support ticket forwarded role check servicealarm server company systemmanagement software depot server filesystem location crit
Email duplication,General Query,Medium,email duplication
[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable TeamViewer on [SERVER],General Query,Medium,ticket support ticket forwarded role initiated company location vulnerable teamviewer server
[TICKET ID] - New Support Ticket received  - Relatorio de pedidos em Aberto Discoverer,Technical Issue,Medium,ticket new support ticket received relatorio pedidos aberto discoverer
Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 32151  Function: Service Manager Service & Support  Company: [COMPANY] Einsteinstr. 8. [ADDRESS]  Department: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  7 2019 12:00AM     Additional information:,General Query,Medium,light user external ticket username service request light user external create light user username firstname lastname ailaddress email phone phone cost center function service manager service support company company einsteinstr address department address zip address city address country address location location office expiration date defined important indicate external user requestor company location desired date jan additional information
Blocked Website by ProxyPlease allow this site. It is used for the installation of Whitesmoke English editor.    [NAME] received a new laptop and needs Whitesmoke installed    Attached is the correspondence with [NAME] when this was installed on [NAME]s previous computer        Client-IP: [IP_ADDRESS]    Proxy Hostname: [SERVER].[COMPANY]up.ads.dir    Date (local server time): 2018-07-18 14:31:03    URL: [URL]   [LOCATION]Categories: Malicious Sites. Software/Hardware    Reputation: High Risk    Media Type:   [LOCATION]was blocked due to a[LOCATION]Reputation and Categorization lookup result: true   [LOCATION]was blocked due to a dynamic content classification result: false        [COMPANY] GATEWAY RESE[LOCATION] CENTER. LLC. [LOCATION]Park at The Danforth Plant Science Center  [ADDRESS]. [ADDRESS]     Managing Director: [NAME]  Company Headquarters: [ADDRESS]      [URL]  ,General Query,Medium,blocked website proxyplease allow site used installation whitesmoke english editor received new laptop needs whitesmoke installed attached correspondence installed previous computer client address proxy hostname server company ads dir date local server time url url location categories malicious sites software hardware reputation high risk media type location blocked location reputation categorization lookup result true location blocked dynamic content classification result false company gateway rese location center llc location park danforth plant science center address address managing director company headquarters address url
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Please add the folder for Italy to the rights that [NAME] already has:    Folder J/  Receivables report / [COMPANY] Italia       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share add folder italy rights folder receivables report company italia requestor company location comment
[TICKET ID] - New Support Ticket received  - Can not get company email on my phone. ,General Query,Medium,ticket new support ticket received company email phone
[TICKET ID] - New Support Ticket received  - Skype,Technical Issue,Medium,ticket new support ticket received skype
CONFIGURAÇÃO DA IMPRESSORA - DIGITALIZAR[LOCATION]E-MAIL,Technical Issue,Medium,configura impressora digitalizar location mail
Initiated by [COMPANY][LOCATION]- Unsupported Firefox on [SERVER],Technical Issue,Medium,initiated company location unsupported firefox server
[TICKET ID] - A Support Ticket was forwarded to your role  - User zu der Gruppe: [SERVER]-[NAME] hizufügen,General Query,Medium,ticket support ticket forwarded role user der gruppe server hizuf gen
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174454  Company:    Department:  [ADDRESS]  Street:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: [USERNAME]@Marco (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 31 2019 12:00AM     Additional information:   Neuer Kollege Startet am 01.02.2019,General Query,Medium,basis user ticket service request basis user create windows account internal user firstname lastname cost center company department address street zip city country address office important set following value username marco leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company location desired date jan additional information neuer kollege startet
[TICKET ID] - New Support Ticket received  -  connect to printers - not urgent at all,Technical Issue,High,ticket new support ticket received connect printers urgent
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:    J:/CHR   J:/CHR-GLOBE   J:/CHR-H   J:/VORLAGEN       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  [ADDRESS] [NAME].  Bitte asap - Head of [LOCATION] HR,Technical Issue,High,file share access ticket company location service request file share access grant access file share following user company location username access type read write file share chr chr globe chr vorlagen requestor company location comment address bitte asap head location
Create Shared Mailbox - [ADDRESS] - [EMAIL],General Query,Medium,create shared mailbox address email
User admschen löschen,Account,Medium,user admschen schen
[TICKET ID] - New Support Ticket received  - Inclusão de Usuaria para recebimento de email do nfe.,Technical Issue,Medium,ticket new support ticket received inclus usuaria para recebimento email nfe
[TICKET ID] - A Support Ticket was forwarded to you  - Users do not receive Pallavis mails,Technical Issue,Medium,ticket support ticket forwarded users receive pallavis mails
COMPUTADOR[LOCATION]DESLIGANDO SOZINHO,Technical Issue,Medium,computador location desligando sozinho
[TICKET ID] - New Support Ticket received  - activacion blackverry work,General Query,Medium,ticket new support ticket received activacion blackverry work
[TICKET ID] - A Support Ticket was forwarded to your role  - Software Installation - [TICKET ID] - [NAME] ([COMPANY] [LOCATION]),Technical Issue,Medium,ticket support ticket forwarded role software installation ticket company location
PRECISO INSTALAR DRIVE DE IMPRESSORA,Technical Issue,Medium,preciso instalar drive impressora
[TICKET ID] - New Support Ticket received  - Growout Room spooling printer issue,Technical Issue,Medium,ticket new support ticket received growout room spooling printer issue
[TICKET ID] - [SERVER][LOCATION]- Planned Maintenance - 2018-9-25. 09:00[LOCATION]| [SERVER] [COMPANY] SE. Rückmeldungen erforderlich.,General Query,Medium,ticket server location planned maintenance location server company ckmeldungen erforderlich
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  [Image]     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username access type read write file share image requestor company location comment
change email for user,General Query,Medium,change email user
instalação da imprssora,Technical Issue,Medium,instala imprssora
[TICKET ID] - New Support Ticket received  - accidentally wiped my phone ,General Query,Medium,ticket new support ticket received accidentally wiped phone
File Share Access - [TICKET ID] - [ADDRESS]. [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,file share access ticket address company location
Light User for external - [TICKET ID] - [NAME]. PolService Request: Light User for external  Create Light user for [USERNAME]. Pol     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47004  Function: Agentur  Company: Welocalize  Department: GMC-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Jun 29 2019 11:00PM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 13 2018 12:00AM     Additional information:,General Query,Medium,light user external ticket polservice request light user external create light user username pol firstname lastname ailaddress email phone phone cost center function agentur company welocalize department gmc address zip address city address country address location location office expiration date jun important indicate external user requestor company location desired date dec additional information
[TICKET ID] - New Support Ticket received  - Cannot login to Fival citrix,Technical Issue,Medium,ticket new support ticket received login fival citrix
[TICKET ID] - New Support Ticket received  - ajuste no base discovery e montagem de uma impressora,Technical Issue,Medium,ticket new support ticket received ajuste base discovery montagem uma impressora
File Share Access - [TICKET ID] - [USERNAME]. Ole ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  J:/Scan     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Das Büro von [NAME] wird sich imBürogebäude in der [ADDRESS] befinden (Büro: 1.04). Bitte liefern Sie die Hardware so schnell wie möglich aus.  Vielen Dank!  Für Rückfragen stehe ich gern zur Verfügung.  Beste Grüße [NAME] Tel.: [PHONE],Technical Issue,Medium,file share access ticket username ole company location service request file share access grant access file share following user username company location username access type read write file share scan requestor company location comment das von wird sich imb rogeb ude der address befinden bitte liefern sie die hardware schnell wie glich aus vielen dank ckfragen stehe ich gern zur verf gung beste tel phone
[TICKET ID] - [SERVER][LOCATION]- Planned Maintenance - 2018-11-17. 08:01[LOCATION]| [SERVER] | [SERVER] [COMPANY] SE. Rückmeldungen erforderlich.,General Query,Medium,ticket server location planned maintenance location server server company ckmeldungen erforderlich
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]A. [LOCATION]),Technical Issue,Medium,file share access ticket company location
Azure Logic Apps - License request (Please contact [NAME]),Technical Issue,Medium,azure logic apps license request contact
[SERVER],Technical Issue,Medium,server
[TICKET ID] - New Support Ticket received  - Not able to print to printer,Technical Issue,Medium,ticket new support ticket received able print printer
Basis User - [TICKET ID] - [NAME].[NAME]([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME].[NAME]([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44288  Company: [COMPANY] S.A.  Department:  KW-[ADDRESS] a [ADDRESS] – [ADDRESS] Rural.  ZIP: [LOCATION][ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13741 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 23 2019  3:00AM     Additional information:,General Query,Medium,basis user ticket company location service request basis user create windows account internal user company location firstname lastname cost center company company department address address address rural zip location address city address country address office important set following value leave blank create exchange skype account user needs following access permissions access software server requestor company location desired date jan additional information
[TICKET ID] - New Support Ticket received  - Datos de Blackberry Work borrados,General Query,Medium,ticket new support ticket received datos blackberry work borrados
Configuração de pontoConfiguração de ponto top data viggia para guardas noturnos,Technical Issue,Medium,configura pontoconfigura ponto data viggia para guardas noturnos
Need access to the R drive,Technical Issue,Medium,need access drive
sem acesso a gropo j,Technical Issue,Medium,sem acesso gropo
Abteilungswechsel Postfachzugang [NAME] Für [NAME] Zugang entfernen.,General Query,Medium,abteilungswechsel postfachzugang zugang entfernen
urgent: create AD-account for [NAME],Account,High,urgent create account
File Share Access - [TICKET ID] - Portes [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,file share access ticket portes company location
[TICKET ID] - A Support Ticket was forwarded to your role  - Email Box - [EMAIL] is not working,Technical Issue,Medium,ticket support ticket forwarded role email box email working
[TICKET ID] - A Support Ticket was forwarded to you  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),Account,Medium,ticket support ticket forwarded basis user username company location
Email não está sincronizando no mobileEmail não está sincronizando no mobile,Technical Issue,Medium,email est sincronizando mobileemail est sincronizando mobile
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/HR/Lohnsteuerprüfung     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username access type read write file share company lohnsteuerpr fung requestor company location comment
Unable to email [NAME] [EMAIL],General Query,Medium,unable email email
File Share Access - [TICKET ID] - [NAME]Service Request: File Share Access     Grant access to file share for the following user:  [NAME] (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  Hello I need Access to the following folder:   J:/[COMPANY]  Best regards. [NAME]     Requestor: [NAME]  Comment:  Hello I need access to the following order:  J:/[COMPANY]  Best regards. [NAME],Technical Issue,Medium,file share access ticket service request file share access grant access file share following user username username access type read write file share hello need access following folder company best regards requestor comment hello need access following order company best regards
Remove File Share Access - [TICKET ID] - Pintos. [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,remove file share access ticket pintos company location
Decision for Order required: #[TICKET ID] - Install request,Technical Issue,Medium,decision order required ticket install request
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      J:/CE-STA/      please create the folder if it does not yet exist and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share sta create folder does exist access subfolders requestor company location comment
ActiveDirectory Sites and Services needs to be adjusted for [LOCATION],Technical Issue,Medium,activedirectory sites services needs adjusted location
[TICKET ID] - New Support Ticket received  - Install Dell[LOCATION]Connection,General Query,Medium,ticket new support ticket received install dell location connection
[COMPANY] Logo on email signatures is not appropriately sized on return emails,General Query,Medium,company logo email signatures appropriately sized return emails
[TICKET ID] - New Support Ticket received  - Mail en el Celular Samsung J7,General Query,Medium,ticket new support ticket received mail celular samsung
[TICKET ID] - A Support Ticket was forwarded to your role  - No Access to [COMPANY] @All WebMag with Chrome,General Query,Medium,ticket support ticket forwarded role access company webmag chrome
[TICKET ID] - New Support Ticket received  - very frequent crashes  of Google chrome browser,Technical Issue,Medium,ticket new support ticket received frequent crashes google chrome browser
Initiated by GIT: Missing connection to all securitytools on system [LOCATION]-TMP03,Technical Issue,Medium,initiated git missing connection securitytools location tmp
[TICKET ID] - New Support Ticket received  - no skype connection,Technical Issue,Medium,ticket new support ticket received skype connection
files in ... J:/ZRPMEXIM/MB/BS_raw_data ... deleted by mistake ... backup of all file from that directory needed night 3-4.2.2020,Technical Issue,Medium,files zrpmexim raw data deleted mistake backup file directory needed night
[TICKET ID] - New Support Ticket received  - Garmin Install,Technical Issue,Medium,ticket new support ticket received garmin install
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - Peta. [NAME] ([COMPANY]. [LOCATION]),General Query,Medium,ticket new support ticket received basis user username peta company location
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME]. [NAME] ([COMPANY]. [LOCATION]),General Query,Medium,ticket new support ticket received basis user username company location
Basis User - [USERNAME] - [NAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME]. [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44278  Company:  [COMPANY] Momont Recherche  Department:  [ADDRESS]  City:  [ADDRESS]  Country:    Office:       Important: Please set the EA10 to the following value: 11140 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 10 2019 12:00AM     Additional information:,General Query,Medium,basis user username company location service request basis user create windows account internal user username company location firstname lastname cost center company company momont recherche department address city address country office important set following value leave blank create exchange skype account user needs following access permissions access software server requestor company location desired date jan additional information
eMail configuration for Salesforce,General Query,Medium,email configuration salesforce
[TICKET ID] - New Support Ticket received  - Instalaçãoe permissão para utilizar o SID,Technical Issue,Medium,ticket new support ticket received instala permiss para utilizar sid
[TICKET ID] - New Support Ticket received  - Bloqueio e cancelamento de usuário - Wanderson [NAME],Account,Medium,ticket new support ticket received bloqueio cancelamento usu rio wanderson
[TICKET ID] - A Support Ticket was forwarded to your role  - Create Shared Mailbox,Technical Issue,Medium,ticket support ticket forwarded role create shared mailbox
DNS removal - [SERVER]4 & [SERVER]5Hi.  Could you please remove the following[LOCATION]records and any subsequent records (e.g. PTR):  - [SERVER]4.[COMPANY]up.ads.dir  - [SERVER]5.[COMPANY]up.ads.dir  Please do not go through [COMPANY] when this is done. I can validate this myself.  Thank you in advance.  [NAME],General Query,Medium,dns removal server server remove following location records subsequent records ptr server company ads dir server company ads dir company validate thank advance
[TICKET ID] - check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN. Rückmeldungen erforderlich.,General Query,High,ticket check hostalarm server company site site location ckmeldungen erforderlich
[TICKET ID] - A Support Ticket was forwarded to your role  - Wrong email address,Technical Issue,Medium,ticket support ticket forwarded role wrong email address
[TICKET ID] - New Support Ticket received  - Computador Backup para Viagens,General Query,Medium,ticket new support ticket received computador backup para viagens
Create Shared Mailbox - [EMAIL] - GTC-TX,General Query,Medium,create shared mailbox email gtc
